Year,Month,yyyymm,Sum of arr_flights,Sum of arr_del15,Sum of carrier_ct,Sum of weather_ct,Sum of nas_ct,Sum of security_ct,Sum of late_aircraft_ct,Sum of arr_cancelled,Sum of arr_delay,Sum of carrier_delay,Sum of weather_delay,Sum of nas_delay,Sum of security_delay,Sum of late_aircraft_delay,Price Date,Open Stock Price
2017,8,201708,55445,10093,2238.87,514.39,4067.39,3.19,3269.17,2201,193,704259,152343,50921,225083,134,9/1/17,62.540001
2017,9,201709,48875,5588,1402.94,104.18,2540.37,0.22,1540.28,1456,67,336088,89683,8826,125113,7,10/1/17,60.900002
2017,10,201710,51284,6961,1613.06,165.07,3100.87,1.22,2080.77,156,85,468313,102825,16738,183573,101,11/1/17,58.200001
2017,11,201711,48354,5465,1344.13,31.59,2401.92,0,1687.43,18,44,351576,89612,2598,126180,0,12/1/17,63.200001
2017,12,201712,49086,7403,1901.22,348.67,3109.92,0,2043.22,84,87,459883,120433,30674,150066,0,1/1/18,67.900002
2018,1,201801,45384,5987,1536.9,338.75,2474.77,0,1636.63,898,81,382888,97697,31978,120382,0,2/1/18,67.220001
2018,2,201802,41650,6126,1348.29,293.83,3028.12,1.81,1453.98,163,91,375619,84630,28553,145335,247,3/1/18,67.779999
2018,3,201803,49800,6803,1714.14,189.75,2894.28,0,2004.84,1109,90,443181,113775,22798,147731,0,4/1/18,69.120003
2018,4,201804,49937,7861,1788.42,191.92,3480.45,0,2400.17,94,97,530773,125418,23286,174993,0,5/1/18,67.589996
2018,5,201805,52816,10628,2211.39,479.89,4658.33,0,3278.35,328,213,782397,163170,49545,273708,0,6/1/18,70
2018,6,201806,55056,13168,2852.72,546.46,5187.3,0.75,4580.66,272,205,947431,208799,52316,270975,25,7/1/18,69.400002
2018,7,201807,57209,13611,3082.9,588.02,5011.47,0,4928.54,394,229,1035407,239360,64350,275054,0,8/1/18,80.769997
2018,8,201808,57921,15875,3372.23,757.72,6185,0,5560.14,745,283,1245569,260988,85066,381861,0,9/1/18,87.839996
2018,9,201809,52905,9110,2031.25,437.77,4132.11,1,2507.91,204,120,634416,147762,47084,215435,32,10/1/18,89.290001
2018,10,201810,55565,9874,2203.7,192.29,4613.95,0,2864.02,64,113,581259,144298,22633,195406,0,11/1/18,85.620003
2018,11,201811,51792,10813,2411.29,326.44,4791.1,0,3284.05,557,106,732190,164081,49968,243778,0,12/1/18,97.669998
2018,12,201812,51530,9788,2338.75,230.98,4305.64,0,2912.64,75,119,610432,156170,15291,194728,0,1/1/19,81.690002
2019,1,201901,46915,9156,1896.11,471.92,4307.93,0,2480.07,697,92,710834,137212,41221,295122,0,2/1/19,87.209999
2019,2,201902,43722,9780,1991.73,341.25,4672.73,0,2774.26,210,71,716261,138334,48240,277424,0,3/1/19,88.459999
2019,3,201903,53651,10635,2424.49,228.86,4109.53,12.54,3859.6,644,95,740875,175761,31011,198890,546,4/1/19,80.209999
2019,4,201904,52292,9936,2210.73,293.03,3802.6,0,3629.65,529,125,764239,180559,36730,209329,0,5/1/19,89.059998
2019,5,201905,54360,12699,2600.51,587.32,5126.51,0.61,4383.99,380,266,1056243,215472,93933,314107,14,6/1/19,77.379997
2019,6,201906,54075,15494,3147.12,782.73,5866.15,12.07,5686,338,283,1217134,248294,75516,349370,1023,7/1/19,88.839996
2019,7,201907,56106,13756,2995.01,953.4,4613.3,0,5194.35,732,310,1148628,239722,115085,286053,0,8/1/19,92.029999
2019,8,201908,56223,13108,2804,517.94,4874.11,5.52,4906.41,517,203,1043444,236707,70150,290822,127,9/1/19,83.639999
2019,9,201909,52021,9410,1900.44,283.56,4082.49,0,3143.44,782,134,696705,138224,31687,253457,0,10/1/19,89.150002
2019,10,201910,55074,9698,1961.62,169.8,4388.82,1,3176.77,151,91,616611,134363,18984,214209,36,11/1/19,91.650002
2019,11,201911,50180,7771,1709.34,99.31,3295.74,1,2665.73,265,57,531224,131963,13827,159395,48,12/1/19,93
2019,12,201912,51291,10693,2318,248.9,4581.42,0,3544.75,139,92,750628,161066,27418,255759,0,1/1/20,89.57
2020,1,202001,48401,6235,1423.76,118.37,2469.57,0,2223.42,297,85,410408,100378,20853,116132,0,2/1/20,75.489998
2020,2,202002,46244,6483,1389.77,113,2742.5,0,2237.66,94,77,434207,103908,10274,135275,0,3/1/20,61.130001
2020,3,202003,53803,4221,1060.56,53.06,1761.22,0,1346.14,12355,46,256291,73522,5441,75371,0,4/1/20,29.51
2020,4,202004,17820,324,195.12,12.86,72.11,0,43.92,8862,3,26940,20401,935,2275,0,5/1/20,28.1
2020,5,202005,7166,292,162.56,16.64,76.25,0,36.53,151,14,21253,12328,2244,2530,0,6/1/20,28.190001
2020,6,202006,7290,456,196.97,70.88,145.48,0,42.69,5,7,30518,13098,5989,6756,0,7/1/20,36.919998
2020,7,202007,14973,1019,392.66,127.16,335.04,0,164.16,59,41,62353,24954,6770,15305,0,8/1/20,31.33
2020,8,202008,21628,1421,484.1,148.04,543.26,1,244.64,288,47,88426,36849,9784,20625,72,9/1/20,35.25
2020,9,202009,17253,927,411.5,87.43,278.4,0.07,149.59,53,29,57306,27511,6705,10007,4,10/1/20,35.23
2020,10,202010,23589,1730,676.65,59.77,688.76,0,304.9,56,34,98091,47191,7213,20665,0,11/1/20,34.080002
2020,11,202011,24158,1715,695.98,61.01,644.66,0,313.38,57,52,100993,42246,10753,19639,0,12/1/20,45.830002
2020,12,202012,25892,2805,973.67,89.83,1173.07,0.96,567.48,316,26,153161,60624,7573,38777,118,1/1/21,43.68
2021,1,202101,23960,1988,690.21,63.98,859.79,0,374.04,162,36,127605,40591,10322,42527,0,2/1/21,40.349998
2021,2,202102,22280,3046,893.52,310.4,1255.59,0,586.5,1093,23,183664,53648,35939,48462,0,3/1/21,55.439999
2021,3,202103,28946,2601,919.01,126.43,1040.52,0,515.08,728,24,132142,50469,8656,35544,0,4/1/21,57.66
2021,4,202104,27787,2712,836.76,117.22,1143.87,1.05,613.11,47,39,169876,51013,14383,50908,49,5/1/21,54.669998
2021,5,202105,30957,3722,1179.86,246.4,1453.56,0,842.22,64,91,248720,78370,31055,57853,0,6/1/21,59.119999
2021,6,202106,35760,8534,2401.57,722.86,3181.34,2.79,2225.49,66,150,563581,143683,66922,153664,112,7/1/21,52.790001
2021,7,202107,43445,12129,3401.42,672.18,4218.61,21.36,3815.43,586,189,846800,228895,72738,199608,1285,8/1/21,46.849998
2021,8,202108,44765,11135,3225.06,603.69,3792.48,0,3513.71,628,159,745540,209243,66251,177999,0,9/1/21,46.75
2021,9,202109,44427,6081,1980.54,233.13,2068.68,0.95,1797.71,633,109,406471,132511,23852,95363,42,10/1/21,48.900002
2021,10,202110,47757,6916,2446.6,202.32,2103.75,0,2163.38,254,84,447799,152886,15949,98412,0,11/1/21,46.18
2021,11,202111,47212,6120,2400.21,55.76,1838.86,1.8,1823.34,239,52,344942,139471,4804,60312,131,12/1/21,43.029999
2021,12,202112,49541,11199,4775.52,135.15,2844.67,4.64,3439.02,1607,120,702855,281946,17065,118918,311,1/1/22,44.669998
2022,1,202201,45741,8776,3920.76,230.34,2203.97,0.44,2420.65,2906,91,596573,257475,25600,99145,8,2/1/22,43.009998
2022,2,202202,43982,7879,3025.96,126.72,2399.38,3.86,2323.18,887,44,476981,172397,17387,106887,165,3/1/22,43.639999
2022,3,202203,50773,10332,3380.65,164.94,3183.31,1,3602.09,218,104,687788,210242,22861,145054,59,4/1/22,46.509998
2022,4,202204,49252,9211,3145.23,227.62,2789.63,4.71,3043.77,485,161,664787,220594,29163,137641,193,5/1/22,50.490002
2022,5,202205,53646,11519,3664.02,289.29,3724.23,0,3841.49,1005,175,830040,262443,41992,179973,0,6/1/22,48.23
2022,6,202206,53105,11299,4003.51,376.37,2967.83,0.41,3950.89,1748,228,877618,301238,50903,159743,10,7/1/22,35.509998
2022,7,202207,55510,11827,4047.8,564.3,3103.41,1,4110.42,825,203,876925,305057,44328,155676,15,8/1/22,36.689999
2022,8,202208,54918,10561,3569.38,484.25,3004.78,8.47,3494.16,1190,234,854549,280909,63708,181771,559,9/1/22,34.669998